Block Height,Block Timestamp,Block Value,Pool Hashrate (GH/s)
756911,1664827249,6.30298534,10972631347.494
756900,1664820721,6.30766982,11081811026.947
756893,1664816729,6.32880483,11134825390.705
756780,1664751684,6.27771794,11127718787.854
756778,1664749981,6.25566903,11115022812.976
756766,1664744227,6.39430995,11152579295.808
756737,1664726140,6.32101079,10695505645.69
756725,1664720788,6.31605762,10668655444.226
756685,1664699224,6.29112028,12079849909.891
756643,1664675267,6.27299269,12114102919.468
756642,1664674910,6.28087599,12126591704.605
756623,1664665517,6.26156085,12169801356.802
756602,1664656238,6.26107339,11853576617.473
756596,1664655121,6.27077805,11965066856.471
756568,1664642132,6.38973965,11704279796.667
756548,1664632115,6.37757933,12280713105.728
756542,1664628049,6.31054412,12231991052.063
756525,1664620834,6.2686634,14174029541.613
756515,1664616495,6.3122497,12745861912.831
756486,1664602221,6.26133797,12048562208.546
756480,1664600083,6.2835356,12053803207.9
756476,1664598907,6.31033101,12048453311.344
756464,1664595400,6.34199948,12071031879.351
756456,1664589767,6.3863007,12068812264.972
756445,1664580594,6.25396784,12055244155.706
756416,1664565888,6.26575375,11964303540.7
756381,1664549709,6.45483518,11429571795.155
756363,1664539893,6.34788977,11712357668.093
